cntr_01,dist_x,pang_x,count_01,source_01,ra_01,dec_01,velo_01,date_obs_01,tsys_01,int_01,rms1_01,vlo1_01,vhi1_01,ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr
4072,1.437668,34.857078,5269,SDSSJ16020+5233,240.5229,52.55481,11400,2016.482,76.2,9,7.5,10044,12768,240.5232754,52.5551377,0.0444,0.0672,12.873,0.039,27.5,12.758,0.04,27.0,9.207,0.04,27.3,7.745,0.154,7.0
4073,0.41065,-168.551905,5271,160226+064651,240.609,6.781,7264,2008.277,47.7,10,4.4,5856,8684,240.6089772,6.7808882,0.0375,0.0359,12.184,0.023,48.1,11.913,0.021,51.1,9.059,0.032,34.1,7.205,0.162,6.7
4074,0.861951,83.645532,5272,3C327,240.6138,1.96556,31418,2004.297,32.6,40,1.5,29781,33071,240.6140381,1.9655865,0.0299,0.0296,11.8,0.092,11.8,11.357,0.021,51.5,6.816,0.016,69.1,3.791,0.023,46.6
4075,0.128234,-165.590779,5273,160229+050915,240.6207,5.15425,11234,2008.041,54.6,10,4.8,9790,12692,240.6206911,5.1542155,0.0518,0.0518,13.666,0.025,43.2,13.614,0.032,33.4,11.991,0.402,2.7,8.863,,-0.8
4076,0.242342,-84.031259,5274,SDSSJ16025+3457,240.6433,34.96642,6000,2016.241,44.0,10,4.3,4691,7321,240.6432183,34.966427,0.0923,0.0998,16.175,0.046,23.7,14.643,0.045,23.9,11.75,0.121,9.0,9.372,0.372,2.9
4077,0.106869,-51.450383,5275,160237+411736,240.6581,41.29342,10450,2008.157,41.9,10,3.7,9013,11900,240.6580691,41.2934385,0.0372,0.0365,12.1,0.022,49.2,11.836,0.022,50.4,9.695,0.032,33.6,7.949,0.116,9.3
4078,0.710397,170.454043,5276,UGC10155,240.7559,39.64556,9264,2010.2,25.5,10,2.3,7838,10703,240.7559425,39.6453654,0.0337,0.033,12.462,0.024,45.6,12.227,0.022,48.7,7.824,0.016,67.7,5.616,0.032,33.7
4079,0.94465,72.272347,5277,1603467-2244090,240.9445,-22.73583,7337,2010.996,50.5,10,4.8,5928,8758,240.944771,-22.7357501,0.0335,0.0332,11.388,0.023,47.3,11.042,0.022,50.3,7.664,0.018,58.7,5.576,0.04,27.3
4080,1.053278,41.478529,5278,160417-070826,241.0725,-7.14064,11128,2009.141,35.5,10,3.2,9685,12584,241.0726953,-7.1404208,0.0435,0.0416,12.421,0.023,47.7,12.406,0.025,42.7,10.398,0.082,13.2,8.459,0.358,3.0
4081,0.232519,90.088709,5279,160428-010435,241.1187,-1.07661,8864,2007.014,32.3,10,2.9,7441,10299,241.1187646,-1.0766101,0.0541,0.0532,13.71,0.026,42.5,13.668,0.035,30.9,11.134,0.148,7.3,8.462,0.382,2.8
4082,0.268018,-9.631747,5280,160436+233948,241.1527,23.66314,9306,2008.038,37.2,10,3.4,7879,10745,241.1526864,23.6632134,0.0392,0.0375,11.926,0.023,46.3,11.788,0.022,48.6,9.156,0.032,34.3,6.907,0.083,13.0
4083,0.794149,132.770696,5281,160442+163040,241.1752,16.51136,10868,2008.246,44.5,10,3.7,9427,12322,241.1753689,16.5112102,0.0371,0.0369,12.165,0.023,47.1,12.037,0.022,49.0,8.865,0.029,38.1,6.53,0.065,16.6
4084,0.303041,-54.401697,5282,J1604+2157,241.1933,21.95719,12020,2015.114,38.2,10,3.8,10568,13485,241.1932262,21.957239,0.0326,0.032,11.656,0.023,47.2,10.704,0.021,52.6,7.358,0.018,59.2,4.92,0.027,40.5
4085,0.930307,-158.417114,5283,NGC6051,241.2363,23.93278,9578,2010.044,27.2,10,2.5,8149,11020,241.236196,23.9325397,0.0386,0.0402,10.796,0.022,49.2,10.865,0.022,50.0,10.459,0.072,15.0,8.7,0.375,2.9
4086,0.68227,-71.064334,5284,SDSSJ16050+4526,241.2717,45.44297,13100,2016.358,40.2,9,4.5,11730,14483,241.2714445,45.4430315,0.0345,0.0336,11.79,0.022,49.2,11.523,0.02,53.4,8.961,0.024,46.0,7.038,0.063,17.3
4087,3.351955,20.40028,5285,NGC6052,241.3037,20.54222,4716,2006.988,70.0,5,10.1,3331,6113,241.3040466,20.5430927,0.0277,0.0282,11.11,0.02,53.8,10.688,0.02,54.8,5.881,0.013,80.5,2.671,0.023,48.0
4088,1.65436,167.702329,5286,1605145+1748031,241.3105,17.80081,9284,2011.103,32.7,10,3.0,7858,10723,241.3106028,17.800361,0.0517,0.0742,13.564,0.032,34.4,13.523,0.038,28.8,10.751,0.111,9.7,8.06,0.279,3.9
4089,2.534392,-51.41136,5287,1605206+1444208,241.3359,14.73906,12517,2011.103,31.9,5,4.1,11061,13987,241.335331,14.7394991,0.0548,0.0493,13.053,0.029,37.8,12.803,0.031,34.5,9.408,0.042,25.8,7.468,0.197,5.5
4090,0.163615,79.349106,5288,160523+174526,241.3474,17.75717,9579,2008.038,37.2,10,3.6,8150,11021,241.3474469,17.7571784,0.0398,0.0389,12.442,0.023,46.6,12.415,0.024,45.6,9.112,0.032,34.0,6.537,0.073,14.8
4091,1.000461,-78.837553,5289,IC-1174,241.3621,15.02531,4688,2005.844,57.9,5,7.4,4549,7353,241.3618177,15.0253638,0.0377,0.0351,10.967,0.022,48.8,11.039,0.02,53.2,9.752,0.041,26.6,8.409,0.333,3.3
4092,0.517918,-13.31307,5291,1605272+1749518,241.3634,17.83097,10268,2011.194,35.0,10,3.2,8833,11716,241.3633652,17.83111,0.0551,0.0494,13.071,0.029,36.9,12.774,0.03,36.3,9.237,0.04,26.9,6.945,0.125,8.7
4093,4.170531,-64.414259,5292,160528+174947,241.366,17.82969,10091,2008.246,48.0,10,4.3,8657,11538,241.3649024,17.8301903,0.107,0.0846,13.669,0.04,26.9,13.505,0.049,22.1,10.292,0.101,10.8,7.942,0.417,2.6
