cntr_01,dist_x,pang_x,count_01,source_01,ra_01,dec_01,velo_01,date_obs_01,tsys_01,int_01,rms1_01,vlo1_01,vhi1_01,ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr
2268,1.65202,107.030308,3035,SDSSJ10448+0317,161.202,3.29836,5700,2016.202,35.7,10,3.4,4393,7018,161.2024395,3.2982256,0.1401,0.151,15.867,0.052,20.7,15.592,0.126,8.6,12.206,0.389,2.8,8.724,,0.3
2269,0.553216,12.37607,3036,104449+381052,161.204,38.18103,7714,2007.394,43.3,10,4.2,6302,9139,161.2040419,38.1811801,0.0322,0.0318,10.996,0.022,49.3,10.549,0.021,52.4,7.581,0.018,61.3,5.534,0.036,30.4
2270,0.568598,25.799891,3037,NGC3362,161.2155,6.59669,8290,2003.922,59.6,32,3.2,6873,9720,161.2155692,6.5968322,0.0318,0.0312,11.474,0.023,48.0,11.039,0.022,49.9,7.239,0.016,69.0,4.754,0.025,42.8
2271,0.379979,57.571915,3038,104458+260529,161.2428,26.09142,6277,2008.2,50.3,20,3.2,4878,7688,161.2428992,26.0914766,0.0567,0.0418,12.72,0.032,34.0,12.174,0.031,34.6,8.787,0.04,27.4,6.131,0.102,10.7
2272,3.209199,-54.638869,3040,104503+392516,161.2648,39.42139,7475,2007.066,44.0,10,4.2,6065,8897,161.2638589,39.4219059,0.0572,0.0493,13.068,0.028,38.7,12.965,0.032,34.4,9.845,0.053,20.4,7.891,0.236,4.6
2273,3.129104,-42.853364,3041,NGC3353,161.3433,55.96025,944,2010.074,31.7,10,2.7,-406,2307,161.3422439,55.9608872,0.0274,0.0276,11.003,0.021,52.9,10.653,0.019,58.7,5.805,0.015,72.2,2.504,0.014,76.6
2274,0.259408,-158.404943,3042,J1045+3712,161.4456,37.21133,7229,2015.407,68.5,3,11.4,5909,8561,161.4455667,37.211263,0.0388,0.0377,11.604,0.022,48.8,11.68,0.022,49.3,9.753,0.047,23.2,8.157,0.22,4.9
2276,0.340722,-166.682967,3045,104615+510442,161.5662,51.07864,7067,2006.974,35.1,10,3.3,5661,8486,161.5661653,51.0785479,0.0419,0.041,12.516,0.025,43.9,12.473,0.024,45.2,9.437,0.036,29.9,7.102,0.093,11.7
2277,0.391111,29.985909,3046,NGC3367,161.6456,13.75081,3042,2005.952,38.9,5,5.1,2904,5678,161.6456559,13.7509041,0.0285,0.0289,10.72,0.021,51.0,10.463,0.021,52.6,5.815,0.015,71.9,2.488,0.014,75.9
2278,0.250497,175.849473,3048,UGC05881,161.6771,25.93167,6173,2013.255,43.3,19,3.4,4775,7584,161.6771056,25.9316006,0.0301,0.0297,10.666,0.022,49.8,10.257,0.02,53.2,6.753,0.015,73.5,4.071,0.027,40.9
2279,0.314493,-76.360701,3049,UGC5881,161.6772,25.93158,6173,2013.305,33.8,10,3.6,4775,7584,161.6771056,25.9316006,0.0301,0.0297,10.666,0.022,49.8,10.257,0.02,53.2,6.753,0.015,73.5,4.071,0.027,40.9
2280,0.448328,-39.13306,3050,NGC3368,161.6904,11.81997,897,2005.952,41.0,5,5.0,761,3496,161.6903197,11.8200666,0.0307,0.0294,8.079,0.022,49.0,8.007,0.019,57.0,5.991,0.016,67.3,4.303,0.027,40.9
2281,2.46362,27.809459,3051,104711+304328,161.7966,30.72436,10354,2008.038,34.8,10,3.1,8918,11803,161.7969714,30.7249653,0.0357,0.0348,11.089,0.023,47.3,11.02,0.021,51.0,8.569,0.024,44.5,6.596,0.068,16.1
2282,0.283609,94.222066,3052,104729+071503,161.8731,7.25106,8075,2006.899,47.9,10,4.8,6660,9503,161.8731792,7.2510542,0.0371,0.0368,11.52,0.022,49.0,11.508,0.022,48.5,8.754,0.03,36.7,6.832,0.096,11.3
2283,1.65326,-2.776084,3053,CGCG155-013,161.9693,26.25053,6574,2010.044,29.0,10,2.7,5172,7988,161.9692752,26.2509887,0.0302,0.0307,11.212,0.022,48.4,10.962,0.021,52.3,6.613,0.015,73.4,4.489,0.027,40.0
2284,2.27277,-107.220096,3054,CGCG66-017,161.9746,10.89786,2797,2010.049,44.6,10,4.3,1430,4176,161.9739859,10.8976731,0.0678,0.0695,14.349,0.031,35.0,14.153,0.047,23.1,10.772,0.105,10.3,7.806,0.171,6.3
2285,0.048321,-104.67314,3055,104800+304132,162.0004,30.69217,9890,2008.038,34.6,10,3.0,8458,11335,162.0003849,30.6921666,0.0435,0.0433,12.773,0.024,45.0,12.732,0.026,42.5,9.797,0.053,20.4,7.141,0.097,11.2
2286,0.338543,123.205302,3056,J1048+2357,162.0267,23.95411,7621,2014.96,64.7,8,7.9,6210,9045,162.0267861,23.9540585,0.0409,0.0407,12.127,0.024,46.2,12.212,0.023,46.3,9.929,0.056,19.4,7.852,0.197,5.5
2287,0.745048,106.852764,3057,104812+283606,162.0506,28.60186,1587,2008.2,48.7,20,3.2,231,2955,162.0508256,28.6018,0.0352,0.0347,10.96,0.023,46.6,10.999,0.021,51.6,8.551,0.023,46.4,6.399,0.052,20.7
2288,0.889148,14.701023,3060,104812+263609,162.0515,26.60233,11715,2008.2,44.7,20,2.8,10266,13177,162.0515701,26.6025689,0.0456,0.0464,13.009,0.025,43.3,12.914,0.027,39.6,9.635,0.046,23.7,7.491,0.134,8.1
2289,0.269325,85.323058,3061,104815+144417,162.0638,14.73806,9876,2007.307,41.2,10,3.6,8444,11321,162.0638771,14.7380661,0.0445,0.0432,12.688,0.024,45.4,12.656,0.026,41.0,10.124,0.059,18.4,8.34,0.254,4.3
2290,0.466066,-7.346844,3062,CG782,162.0679,33.26747,6863,2010.413,30.8,10,2.8,5459,8280,162.0678802,33.2675984,0.0694,0.0728,14.549,0.032,34.5,14.377,0.049,22.1,11.253,0.143,7.6,8.596,,0.6
2291,2.765027,-66.341653,3071,104837+662143,162.158,66.36197,6595,2006.183,38.6,10,3.6,5193,8009,162.1562454,66.3622782,0.0323,0.0339,10.884,0.023,47.2,10.712,0.021,52.8,7.884,0.02,53.7,6.065,0.055,19.6
2292,0.704055,-155.954789,3072,MRK727,162.1842,26.05358,7630,2010.044,28.0,10,2.7,6219,9054,162.1841113,26.0534014,0.0303,0.0547,11.831,0.031,35.0,11.208,0.03,36.7,6.651,0.022,48.3,3.332,0.032,33.8
2293,0.179142,-26.067162,3073,104848+655524,162.2037,65.92333,12291,2008.28,36.6,10,3.3,10837,13759,162.2036464,65.9233747,0.047,0.0462,13.441,0.024,45.1,13.321,0.029,37.9,10.222,0.056,19.4,8.044,0.194,5.6
2294,0.344647,-70.154914,3074,MRK152,162.2188,50.03664,6924,2010.413,30.9,10,2.9,5519,8342,162.2186598,50.0366725,0.0319,0.0322,11.994,0.022,49.2,11.863,0.021,51.7,7.663,0.019,58.2,4.565,0.023,47.4
2296,0.279214,123.315969,3076,J1049+2258,162.33,22.98053,9544,2014.96,63.0,10,7.1,8115,10986,162.3300704,22.9804874,0.0556,0.057,14.042,0.026,41.0,13.776,0.039,27.9,9.895,0.062,17.5,7.902,0.204,5.3
2297,2.163964,-176.862183,3077,VIIIZW105,162.3317,13.23006,17291,2010.049,36.3,10,3.5,15790,18806,162.3316662,13.2294598,0.0557,0.0825,13.247,0.037,29.4,13.035,0.044,24.7,8.883,0.048,22.5,6.278,0.091,11.9
2298,0.713446,-135.108818,3079,IC643,162.3634,12.20117,7009,2010.082,30.5,10,2.8,5604,8427,162.3632569,12.2010296,0.0396,0.0372,11.21,0.023,47.2,11.287,0.021,50.9,10.705,0.097,11.2,8.453,,1.4
2299,0.495173,-15.570818,3080,MRK417,162.3789,22.96442,9820,2008.189,38.0,10,3.5,8389,11264,162.3788599,22.9645525,0.0314,0.0304,10.985,0.023,47.9,10.036,0.02,54.8,6.821,0.017,64.6,4.335,0.025,43.2
2301,3.509153,99.769018,3083,NGC3396,162.4796,32.99089,1625,2011.103,34.3,10,3.1,268,2994,162.4807453,32.9907246,0.0268,0.0259,11.192,0.02,55.3,10.848,0.019,57.8,6.005,0.013,84.6,2.801,0.017,64.3
2302,1.129239,95.983677,3084,105003+365831,162.5112,36.97531,10671,2007.394,42.2,10,3.8,9232,12123,162.5115905,36.9752773,0.0413,0.0387,12.693,0.025,43.3,12.015,0.024,46.1,8.804,0.029,37.5,6.389,0.078,13.9
2303,0.406639,-176.147374,3085,2MASXIJ1050027+,162.5116,36.97539,10461,2005.169,29.5,24,1.7,10102,13010,162.5115905,36.9752773,0.0413,0.0387,12.693,0.025,43.3,12.015,0.024,46.1,8.804,0.029,37.5,6.389,0.078,13.9
2304,0.373221,-40.272483,3086,105003-144459,162.513,-14.74975,7986,2009.163,37.0,10,3.4,6572,9413,162.5129307,-14.7496709,0.0348,0.034,11.382,0.023,48.1,11.169,0.021,50.9,7.898,0.021,52.1,6.064,0.061,17.7
2305,0.309363,104.007322,3087,UGC-5943,162.5561,-1.29019,4544,2008.353,46.2,5,6.6,3161,5940,162.5561834,-1.2902108,0.0515,0.0496,13.337,0.027,40.6,13.264,0.031,35.2,9.515,0.045,24.4,7.373,0.152,7.1
2306,0.303297,88.231517,3088,J105021+084449,162.5892,8.74706,5888,2014.092,42.8,10,4.6,4493,7296,162.5892852,8.7470626,0.0407,0.0413,12.28,0.024,45.3,12.332,0.025,44.1,8.952,0.038,28.5,6.694,0.073,14.9
2307,0.217003,18.983696,3089,NGC3394,162.666,65.72722,3403,2006.085,51.8,5,7.3,2030,4788,162.6660477,65.727277,0.0377,0.0379,12.317,0.024,44.7,12.27,0.023,46.3,8.633,0.023,46.4,6.31,0.059,18.4
2308,4.216163,-27.054697,3091,IC649,162.7175,1.16389,11560,2013.428,50.9,10,5.6,10112,13021,162.7169672,1.164933,0.0333,0.0345,11.96,0.024,44.8,11.601,0.023,48.1,7.542,0.017,63.3,5.0,0.031,34.9
2309,0.542885,-114.651918,3092,NGC3412,162.7222,13.41225,841,2010.082,33.1,10,2.8,-508,2203,162.7220591,13.4121871,0.0324,0.0313,8.903,0.021,51.7,8.926,0.019,56.6,8.323,0.021,51.5,6.961,0.119,9.2
2310,0.717189,16.311782,3093,SDSSJ10510+6546,162.7624,65.78139,3300,2016.329,60.4,9,6.3,2014,4598,162.7625364,65.7815812,0.0363,0.0357,11.095,0.022,48.4,11.14,0.02,53.4,9.541,0.037,29.3,7.475,0.112,9.7
2311,0.527129,-7.41601,3094,NGC3414,162.8176,27.97494,1414,2008.307,33.7,5,4.4,59,2781,162.8175786,27.9750852,0.0333,0.0321,9.122,0.022,49.6,9.158,0.019,55.8,8.181,0.023,47.5,6.378,0.06,18.0
2312,0.412806,101.928019,3095,NGC3419,162.8239,13.94603,3035,2005.952,39.8,5,5.1,2898,5671,162.8240156,13.9460063,0.0323,0.0313,10.745,0.023,48.0,10.704,0.02,54.4,7.399,0.018,60.3,5.253,0.038,28.8
2313,0.081799,-177.478324,3096,105120+012307,162.8369,1.38544,11834,2006.925,30.5,10,2.7,10384,13297,162.836899,1.3854173,0.0712,0.0729,14.463,0.032,34.4,14.24,0.05,21.8,11.331,0.203,5.4,8.352,,1.0
2314,0.271592,139.773649,3097,1051299,162.8746,46.74489,11737,2010.941,41.0,10,3.8,10288,13199,162.8746711,46.7448324,0.0359,0.0352,11.652,0.022,49.0,11.641,0.021,51.8,9.094,0.031,34.7,6.812,0.061,17.7
2315,0.640287,-164.513225,3098,105138-010734,162.91,-1.12611,11392,2006.302,31.4,10,2.8,9946,12851,162.9099525,-1.1262814,0.0381,0.0374,12.245,0.023,47.3,12.182,0.023,48.0,8.848,0.028,38.2,6.793,0.084,12.9
2316,0.193591,99.850748,3099,NGC3415,162.9275,43.71261,3303,2008.307,33.6,5,4.6,1931,4687,162.9275733,43.7126008,0.0311,0.0309,9.961,0.023,47.4,9.895,0.019,55.8,7.149,0.016,67.4,5.214,0.041,26.3
2317,0.633307,-91.791597,3100,J105153+100557,162.9738,10.09925,7918,2013.089,46.7,8,5.3,6504,9344,162.9736214,10.0992445,0.0338,0.0341,11.502,0.023,48.1,11.414,0.022,49.6,7.928,0.019,57.8,5.91,0.059,18.6
2318,0.056634,176.363468,3101,NGC3434,162.9918,3.79206,3636,2008.353,45.0,5,5.5,2261,5023,162.991801,3.7920443,0.0304,0.0303,10.483,0.022,48.3,10.407,0.02,53.2,6.679,0.015,74.9,4.367,0.03,35.6
2319,0.927546,151.070068,3102,105158+524608,162.9938,52.76917,9514,2006.969,39.2,30,2.2,9227,12119,162.994006,52.7689445,0.0499,0.0509,12.799,0.027,40.0,12.829,0.03,36.4,11.49,0.194,5.6,7.929,,1.7
2320,0.72845,72.454541,3103,NGC3433,163.016,10.14825,2720,2008.353,44.0,5,5.4,1353,4099,163.016196,10.148311,0.04,0.0392,11.833,0.023,47.2,11.947,0.023,47.5,9.714,0.046,23.5,7.431,0.132,8.2
2321,1.926674,137.376027,3104,105204+583559,163.0197,58.59983,9521,2006.969,39.3,10,3.6,9234,12126,163.0203956,58.5994362,0.0506,0.0532,13.127,0.027,39.8,13.111,0.03,35.7,10.986,0.121,9.0,8.54,0.443,2.5
2322,0.533753,-106.738124,3105,NGC3430,163.0476,32.95042,1585,2008.307,33.6,5,4.2,229,2953,163.0474308,32.9503773,0.0322,0.0324,10.87,0.023,48.1,10.843,0.021,51.9,7.478,0.018,60.5,5.124,0.032,33.5
2323,0.263952,106.317474,3106,UGC05984NED01,163.0622,30.05792,10372,2003.939,33.8,36,1.7,8936,11822,163.0622813,30.0578994,0.0388,0.0375,12.379,0.023,47.0,12.278,0.024,46.1,8.812,0.028,39.4,5.791,0.036,29.9
2324,0.063118,140.86811,3107,NGC3407,163.0741,61.37964,4994,2006.085,52.7,5,7.3,3607,6394,163.0741231,61.3796264,0.0369,0.0362,11.01,0.022,48.9,11.089,0.02,53.5,10.476,0.064,16.9,9.022,0.441,2.5
2325,0.492986,-2.594945,3108,105221+381750,163.0867,38.29725,10724,2007.394,42.9,10,3.9,9284,12177,163.0866921,38.2973868,0.0448,0.0468,12.918,0.024,44.5,12.836,0.027,40.5,10.351,0.081,13.4,8.377,0.363,3.0
2326,0.445454,104.700327,3109,J1052+1756,163.089,17.93531,1526,2014.96,69.5,10,7.3,170,2894,163.0891258,17.9352786,0.0472,0.0468,12.874,0.024,44.5,12.927,0.028,39.1,11.078,0.161,6.7,8.73,,0.5
2327,0.109072,-66.667374,3110,J105227+080538,163.1146,8.09408,6542,2013.089,46.9,10,4.7,5141,7956,163.1145719,8.094092,0.0316,0.0308,11.083,0.022,48.4,10.885,0.02,53.9,6.75,0.017,64.2,4.107,0.027,40.4
2328,1.91587,-123.922651,3111,NGC3432,163.1296,36.61892,616,2010.413,32.4,10,2.9,-731,1976,163.1290498,36.618623,0.0394,0.0403,12.055,0.026,42.0,11.854,0.024,44.5,8.128,0.022,49.8,5.45,0.039,27.9
2329,0.09111,-8.95391,3113,J105233+100108,163.1393,10.01911,6372,2013.089,47.2,10,5.0,4973,7785,163.139296,10.019135,0.0385,0.038,11.999,0.024,45.2,11.972,0.023,47.1,8.485,0.025,43.4,6.676,0.079,13.8
2330,0.123522,78.739591,3114,105235+475422,163.1462,47.90636,8371,2006.969,38.7,10,3.5,8086,10956,163.1462502,47.9063667,0.0373,0.0367,11.887,0.022,50.2,11.794,0.021,51.2,10.202,0.058,18.6,8.433,0.328,3.3
2331,1.647614,46.679201,3115,105247-110518,163.1958,-11.08833,8130,2009.175,38.5,10,3.5,6714,9559,163.1961393,-11.088016,0.0573,0.0478,12.479,0.031,35.1,12.434,0.033,32.9,10.008,0.068,16.0,7.831,0.307,3.5
2332,0.834348,134.866827,3116,UGC6003,163.2658,4.63194,5793,2010.082,32.8,10,2.8,4399,7200,163.2659648,4.6317765,0.0309,0.0309,11.535,0.022,49.6,11.355,0.021,50.6,7.181,0.016,68.1,4.237,0.024,44.7
2333,3.55765,115.182133,3117,MRK156,163.2851,50.28475,1363,2010.169,30.8,10,2.8,9,2729,163.2864996,50.2843295,0.0554,0.0547,13.9,0.027,39.9,13.765,0.033,32.8,12.01,0.263,4.1,7.662,0.134,8.1
2334,0.450924,136.196463,3118,NGC3440,163.4562,57.11883,1904,2010.074,33.2,10,2.9,545,3275,163.4563597,57.1187396,0.0395,0.0389,12.44,0.024,46.2,12.432,0.024,46.0,9.321,0.032,33.7,6.499,0.058,18.8
2335,0.227029,21.686431,3119,J1053+4939,163.4993,49.65972,6565,2015.327,44.7,8,5.1,5251,7891,163.499336,49.6597786,0.0318,0.0315,10.925,0.022,48.6,10.863,0.021,51.9,7.531,0.017,65.2,5.584,0.035,31.4
2336,3.10993,117.231402,3120,105408+002139,163.5343,49.65972,14390,2008.283,35.4,10,3.0,12916,15878,163.5354866,49.6593247,0.3831,0.4148,17.352,0.136,8.0,16.861,0.315,3.4,12.623,,-0.6,8.439,,1.7
2337,0.376482,-125.817591,3121,J1054+3309,163.6163,33.16211,12986,2015.057,41.6,10,4.0,15950,24236,163.6161987,33.1620488,0.0352,0.0349,12.666,0.024,44.6,11.738,0.023,47.2,7.985,0.02,53.9,4.974,0.029,37.0
2338,2.328413,120.287703,3122,NGC3454,163.6225,17.34389,1101,2010.111,30.5,10,2.7,-250,2465,163.6230851,17.3435638,0.0372,0.0365,12.107,0.022,49.8,12.046,0.023,47.5,8.595,0.027,39.8,6.301,0.068,15.9
2339,0.368301,-66.252019,3123,105435+110046,163.6462,11.01294,9408,2006.883,51.6,10,4.9,7980,10848,163.6461046,11.0129812,0.0366,0.0369,12.312,0.022,48.4,12.146,0.023,47.8,8.584,0.026,42.2,6.24,0.054,19.9
2340,2.891425,-58.395473,3124,J105439+541820,163.6642,54.30514,0,2015.057,46.1,8,7.4,2722,10320,163.6630276,54.3055609,0.0286,0.0288,10.496,0.022,49.8,10.25,0.02,54.8,6.218,0.014,77.4,3.18,0.022,50.4
2341,0.373852,-72.920458,3125,105443+162628,163.6777,16.44111,9752,2008.175,37.4,10,3.2,8321,11196,163.6775965,16.4411405,0.0428,0.0421,12.69,0.023,46.7,12.606,0.026,42.3,9.685,0.048,22.6,7.757,0.182,6.0
2342,1.611815,4.065257,3126,J105505+094126,163.771,9.69064,9332,2013.089,48.4,9,5.3,7905,10772,163.7710322,9.6910866,0.0458,0.0748,13.061,0.039,27.9,12.773,0.04,27.0,8.849,0.043,25.4,6.109,0.088,12.3
2343,0.619943,22.58496,3127,105508+372636,163.7828,37.44328,7661,2007.394,46.2,10,4.4,6249,9085,163.7828833,37.443439,0.0404,0.0404,12.707,0.023,46.9,12.673,0.024,45.9,9.468,0.038,28.6,7.536,0.123,8.9
2344,0.1749,-88.702598,3128,105537+473438,163.9043,47.57733,6759,2006.969,39.6,10,3.3,6477,9317,163.904228,47.5773311,0.0402,0.0406,12.181,0.023,47.2,12.235,0.023,48.2,10.558,0.084,13.0,8.622,,0.8
2345,0.667045,65.614977,3129,105550+312332,163.9585,31.39219,10470,2008.2,44.9,20,2.7,9033,11920,163.9586977,31.3922665,0.0345,0.0331,11.219,0.022,49.3,11.116,0.02,55.3,8.428,0.025,43.4,6.21,0.062,17.6
2346,0.42426,-81.558601,3131,105618+465155,164.0753,46.86539,8551,2007.033,42.4,10,3.9,7131,9983,164.0751295,46.8654073,0.0397,0.0398,12.244,0.023,47.1,12.291,0.022,48.3,9.751,0.046,23.8,7.665,0.153,7.1
2347,0.165608,28.046742,3132,105729+373555,164.3716,37.59858,11043,2007.394,44.7,10,4.0,9600,12499,164.3716273,37.5986206,0.0578,0.0605,14.126,0.028,38.5,13.965,0.037,29.1,10.783,0.109,10.0,8.365,0.297,3.6
2348,0.081908,136.852717,3133,NGC3468,164.3799,40.94614,7555,2008.307,33.1,5,4.3,6144,8978,164.3799206,40.9461234,0.0366,0.0369,10.588,0.023,47.8,10.677,0.02,54.0,10.001,0.063,17.4,8.79,0.488,2.2
2349,0.320511,-39.800892,3134,IC657,164.4733,-4.90497,9688,2012.124,44.0,10,4.1,8258,11131,164.4732428,-4.9049016,0.0378,0.0365,11.738,0.023,47.9,11.513,0.021,51.5,9.237,0.041,26.2,7.228,0.129,8.4
2350,0.208699,36.335517,3135,105754+665950,164.4778,66.99719,12291,2008.28,36.7,10,3.3,10837,13759,164.4778879,66.9972367,0.0415,0.0427,12.847,0.023,47.3,12.844,0.024,45.2,11.785,0.216,5.0,8.957,,0.7
2352,0.130518,20.765017,3137,105819+083611,164.5802,8.60322,10530,2006.883,51.9,10,4.5,9092,11981,164.580213,8.6032539,0.0359,0.036,11.771,0.022,48.6,11.747,0.022,49.7,8.593,0.026,42.3,6.645,0.069,15.7
2353,1.239737,175.695325,3138,105851+363624,164.7126,36.60681,9528,2007.394,46.5,10,4.2,8099,10970,164.7126322,36.6064666,0.0473,0.0791,12.958,0.038,28.3,12.777,0.04,27.0,9.559,0.055,19.6,7.092,0.204,5.3
2354,0.160264,5.669365,3139,105911+014833,164.7975,1.80919,11972,2006.925,30.3,10,2.8,10521,13437,164.7975044,1.8092343,0.0393,0.0382,12.209,0.023,47.8,12.132,0.024,44.6,8.738,0.029,38.0,6.75,0.071,15.4
2355,0.782734,84.033693,3140,CGCG066-078,164.8979,8.92694,9270,2010.111,26.0,10,2.4,7844,10709,164.8981189,8.9269626,0.0426,0.0414,12.254,0.023,47.0,12.349,0.025,43.3,9.886,0.061,17.9,8.37,0.297,3.7
2356,0.448418,-15.552312,3141,UGC6070,164.9429,33.39194,1853,2010.155,39.6,10,3.6,494,3224,164.94286,33.39206,0.0323,0.0327,11.696,0.022,48.5,11.602,0.022,50.1,7.918,0.018,61.8,5.255,0.03,35.9
2357,0.567375,-0.416236,3142,110004+172528,165.0162,17.42422,8861,2008.175,38.3,10,3.5,7438,10296,165.0161988,17.4243776,0.0357,0.0349,11.414,0.022,48.7,11.382,0.021,51.2,8.611,0.026,42.5,6.672,0.075,14.4
2358,0.297178,112.5073,3143,J110007+101522,165.0327,10.25631,10053,2013.089,48.6,9,5.7,8619,11499,165.0327775,10.2562784,0.0413,0.041,12.595,0.024,45.0,12.492,0.026,42.5,8.865,0.032,34.2,6.721,0.074,14.7
2359,0.047764,156.854947,3144,110009+101612,165.0397,10.27019,10109,2006.883,52.2,10,4.7,8675,11556,165.0397053,10.2701778,0.0578,0.0594,13.927,0.027,40.5,13.933,0.042,25.9,11.462,0.215,5.1,8.903,0.512,2.1
2360,0.235107,94.390887,3145,HS1057+4632,165.0667,46.27092,9600,2016.241,40.5,10,4.1,8260,10952,165.0667942,46.270915,0.0376,0.0377,12.772,0.024,45.0,11.986,0.022,49.0,8.628,0.026,41.7,6.299,0.059,18.4
2361,0.263856,-32.229949,3146,J1100+3714,165.0675,37.24017,7421,2015.407,70.6,4,11.9,6100,8754,165.0674509,37.240232,0.0467,0.0459,13.207,0.025,43.4,13.074,0.028,38.8,10.185,0.056,19.5,8.384,0.246,4.4
2362,0.774837,-68.151353,3148,NGC3489,165.0775,13.90111,677,2004.302,77.9,20,5.0,-670,2037,165.0772942,13.9011901,0.0291,0.0297,8.356,0.023,47.4,8.313,0.02,55.3,6.911,0.014,75.4,5.402,0.038,28.5
2363,0.428009,-16.149285,3149,NGC3486,165.0996,28.975,681,2012.277,40.1,10,4.1,-666,2041,165.0995622,28.9751142,0.0345,0.0335,10.041,0.022,49.0,10.054,0.02,54.0,8.575,0.025,43.2,6.203,0.056,19.5
2364,0.453199,-161.668202,3150,110024+041045,165.1011,4.17939,11505,2006.925,30.3,10,2.8,10058,12965,165.1010603,4.1792705,0.0478,0.0477,13.305,0.025,44.2,13.191,0.029,36.9,9.828,0.06,18.2,8.084,0.234,4.6
2365,0.271182,89.695749,3151,110027+062409,165.1153,6.40261,11472,2006.899,43.9,10,4.0,10025,12932,165.1153758,6.4026104,0.0427,0.0427,12.663,0.023,46.9,12.61,0.025,43.3,9.807,0.054,20.0,8.14,0.25,4.3
2366,0.480923,100.8296,3152,SDSSJ11005+0206,165.1354,2.11606,11800,2016.299,42.8,10,4.2,10441,13171,165.1355313,2.1160349,0.0397,0.0385,12.142,0.023,48.2,12.098,0.023,47.2,9.304,0.038,28.3,7.298,0.133,8.2
2367,0.665206,165.261962,3153,IRASF10570+7239,165.1601,72.38089,8700,2016.329,53.5,5,7.2,7368,10044,165.1602553,72.3807113,0.0434,0.0434,13.681,0.024,44.8,13.511,0.029,37.1,9.243,0.029,38.1,6.03,0.045,24.4
2368,0.4818,-130.265153,3154,2MFGC08589,165.1892,-6.57836,8998,2012.124,45.2,15,3.3,7574,10435,165.1890972,-6.5784465,0.0331,0.0335,11.391,0.023,47.6,11.171,0.021,51.7,7.999,0.02,55.6,6.148,0.059,18.3
2369,0.144738,105.139027,3156,110047+104341,165.1998,10.72817,10799,2006.891,43.9,55,2.0,8216,11088,165.1998395,10.7281595,0.04,0.0395,11.83,0.024,45.4,11.866,0.022,48.5,9.886,0.052,21.0,7.561,0.154,7.1
2371,0.738857,-45.794039,3192,MRK728,165.2575,11.04692,10686,2010.003,31.2,10,10.3,9247,12138,165.2573501,11.0470631,0.0406,0.0599,12.116,0.035,31.2,11.608,0.032,33.8,9.083,0.049,22.3,6.677,0.136,8.0
2372,0.238161,-125.269593,3194,110105+294349,165.2713,29.73042,10273,2008.2,44.5,10,4.0,8837,11722,165.2712378,29.7303818,0.0383,0.0382,12.281,0.022,48.5,12.278,0.023,47.3,9.299,0.033,33.0,7.439,0.136,8.0
2373,0.641801,-125.924886,3195,2MASXJ11012645+,165.3604,9.78889,8070,2012.277,42.0,10,4.8,6655,9498,165.3602535,9.7887854,0.0376,0.0631,11.542,0.033,33.2,11.301,0.032,33.8,8.591,0.037,29.6,6.128,0.125,8.7
2374,4.292668,-170.226004,3197,MCG-02.28.039,165.3746,-12.44806,7700,2016.335,67.9,10,7.2,6376,9036,165.3743927,-12.4492351,0.0319,0.0321,11.612,0.023,47.5,11.359,0.02,54.2,7.81,0.019,58.5,4.48,0.026,42.3
2375,0.709497,18.221302,3199,110133+293808,165.387,29.6355,10346,2008.2,44.6,10,4.1,8910,11795,165.3870709,29.6356872,0.0447,0.0439,12.802,0.024,45.2,12.788,0.026,41.2,10.692,0.07,15.5,8.423,0.224,4.8
2376,0.452332,-83.786125,3200,UBG6100,165.3917,45.65389,8844,2003.922,52.4,8,5.4,7422,10279,165.3915213,45.6539036,0.0298,0.03,11.271,0.023,47.8,10.829,0.02,53.1,6.798,0.014,75.5,4.247,0.024,45.5
2377,0.453534,-97.479796,3201,UGC6100,165.3917,45.65392,8844,2003.922,52.7,16,3.9,7422,10279,165.3915213,45.6539036,0.0298,0.03,11.271,0.023,47.8,10.829,0.02,53.1,6.798,0.014,75.5,4.247,0.024,45.5
2378,0.165386,137.369181,3202,110156+665545,165.4833,66.92931,12591,2008.28,36.6,10,3.2,11134,14061,165.4833794,66.9292762,0.0495,0.0504,13.801,0.025,43.7,13.703,0.031,34.9,10.914,0.1,10.9,8.151,0.229,4.7
2379,0.291671,-149.487514,3203,J110156+183520,165.4873,18.58897,9395,2013.407,48.6,10,5.3,7968,10836,165.4872566,18.5889002,0.0333,0.0331,11.835,0.023,47.0,11.643,0.021,52.5,7.578,0.018,58.8,5.5,0.044,24.6
2380,0.436599,25.569298,3204,TOL1059+105,165.4912,10.29414,10200,2016.299,43.5,10,4.2,8855,11557,165.4912532,10.2942494,0.0365,0.0366,12.42,0.023,47.2,11.785,0.021,50.5,8.755,0.027,40.1,6.087,0.057,18.9
2382,2.742493,18.603114,3208,SDSSJ11025-0017,165.6388,10.29414,5100,2016.299,45.8,10,4.3,3798,6413,165.639047,10.294862,0.6159,0.6824,17.554,0.219,5.0,16.389,,1.9,12.498,,-0.9,8.758,,-0.9
