cntr_01,dist_x,pang_x,count2019_01,sourcename_01,ra_01,dec_01,vsys_01,lum_01,class_01,ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr
122,0.459748,147.998026,122,M_51,202.4696,47.19528,463.0,0.6,-999,202.4696996,47.1951717,0.0352,0.0347,8.84,0.024,44.7,8.664,0.02,53.3,6.19,0.023,47.8,3.386,0.036,29.8
123,1.361485,26.889561,123,NGC_5256,204.5717,48.27555,8419.0,32.0,-999,204.571957,48.2758873,0.0285,0.0287,10.521,0.022,49.6,9.934,0.02,55.6,5.659,0.015,73.9,2.535,0.018,60.1
124,4.926507,155.788653,124,NGC_5253,204.9825,-31.63889,-999.0,0.02,2,204.9831592,-31.6401381,0.0269,0.0227,9.267,0.023,46.2,7.524,0.02,53.5,2.787,0.01,106.6,-0.261,0.011,102.8
125,0.332675,173.41453,125,J1346+5228,206.67,52.47692,8763.0,379.0,11,206.6700174,52.4768282,0.0355,0.0361,11.738,0.022,49.4,11.745,0.021,52.8,9.377,0.033,33.1,7.11,0.087,12.5
126,0.12796,-75.166065,126,NGC_5347,208.3242,33.49083,2335.0,32.0,-999,208.3241588,33.4908391,0.0292,0.0292,10.138,0.023,47.4,9.085,0.02,55.0,5.257,0.014,78.1,2.544,0.02,54.4
127,0.072316,163.900462,127,J1355+0553,208.8996,5.884639,11762.0,86.0,-999,208.8996056,5.8846197,0.0343,0.0338,12.388,0.024,45.8,11.802,0.022,48.8,7.776,0.019,57.9,5.261,0.032,33.7
128,0.919245,-3.386257,128,MCG+11-17-010,209.1196,64.62861,9456.0,34.0,-999,209.1195648,64.6288649,0.0326,0.0332,12.081,0.022,48.8,11.732,0.021,52.6,8.396,0.019,56.8,6.616,0.049,22.1
129,0.612283,142.041622,129,J1356+6937,209.1975,69.62,10522.0,-999.0,-999,209.1978004,69.6198659,0.0352,0.0367,12.606,0.023,47.0,12.311,0.022,48.4,8.789,0.023,47.9,6.016,0.042,25.8
130,0.48654,-52.539565,130,CGCG_074-064,210.7686,8.9475,6886.0,-999.0,-999,210.7684914,8.9475822,0.0354,0.034,11.362,0.023,47.9,11.213,0.021,52.7,8.53,0.024,45.1,5.966,0.038,28.7
131,0.994186,-171.049679,131,ESO_446-G018,212.1595,-29.57203,4771.0,183.0,-999,212.1594506,-29.5723028,0.0381,0.0427,11.458,0.023,46.3,11.4,0.024,44.5,8.963,0.031,35.2,7.242,0.113,9.6
132,0.22691,-17.236316,132,UGC_9077,212.7312,39.77214,5630.0,-999.0,-999,212.7311757,39.7722002,0.032,0.0316,11.66,0.023,47.8,11.447,0.021,51.1,7.671,0.017,63.0,4.926,0.028,38.9
133,0.99799,139.755547,133,NGC_5495,213.0971,-27.10806,6737.0,600.0,1,213.0973012,-27.1082716,0.0319,0.0314,10.941,0.023,47.7,10.903,0.02,54.1,7.706,0.018,61.7,4.885,0.031,35.5
134,4.089985,86.574883,134,Circinus,213.2888,-65.33916,450.0,20.0,12,213.291518,-65.3390921,0.0046,0.007,4.237,0.102,10.6,3.444,0.127,8.5,-0.358,0.231,4.7,-2.293,0.003,424.2
135,1.212156,121.055918,135,NGC_5506,213.3117,-3.2075,1853.0,50.0,-999,213.3119889,-3.2076737,0.0286,0.0276,7.357,0.031,35.3,6.193,0.025,43.4,3.698,0.016,69.8,1.084,0.018,60.4
136,0.492567,-55.040458,136,MCG-02-37-004,216.5513,-11.90472,12439.0,-999.0,-999,216.5511854,-11.9046416,0.0333,0.0361,11.674,0.023,46.5,11.516,0.022,48.7,7.736,0.019,56.3,5.346,0.038,28.8
